Nomor laporan,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi,Day
1086251,Kaki Lima Liar,-6.180987,106.854599,Kampung Rawa,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1086504,Kaki Lima Liar,-6.188375,106.836098,Cikini,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1086748,Kaki Lima Liar,-6.195487,106.841408,Cikini,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1087192,Kaki Lima Liar,-6.162081,106.843987,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1087230,Kaki Lima Liar,-6.164605,106.819382,Petojo Utara,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1087424,Kaki Lima Liar,-6.141992,106.847351,Gunung Sahari Utara,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1088003,Kaki Lima Liar,-6.166485,106.831421,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1088556,Kaki Lima Liar,-6.156463,106.852402,Kebon Kosong,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1088641,Kaki Lima Liar,-6.183723,106.856201,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1088643,Kaki Lima Liar,-6.183809,106.856148,Johar Baru,Johar Baru,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1088761,Kaki Lima Liar,-6.159722,106.833885,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1089603,Kaki Lima Liar,-6.186977,106.821686,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1090051,Kaki Lima Liar,-6.194061,106.81459,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090053,Kaki Lima Liar,-6.194061,106.81459,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090057,Kaki Lima Liar,-6.197814,106.814522,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090058,Kaki Lima Liar,-6.197814,106.814522,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090068,Kaki Lima Liar,-6.20309,106.80777,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090070,Kaki Lima Liar,-6.20428,106.808784,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090077,Kaki Lima Liar,-6.206705,106.810593,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090082,Kaki Lima Liar,-6.207386,106.81089,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090083,Kaki Lima Liar,-6.207807,106.81131,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090084,Kaki Lima Liar,-6.208211,106.811722,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090227,Kaki Lima Liar,-6.197487,106.814201,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090239,Kaki Lima Liar,-6.190813,106.81485,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090242,Kaki Lima Liar,-6.190813,106.81485,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1090270,Kaki Lima Liar,-6.208259,106.811432,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1091728,Kaki Lima Liar,-6.199268,106.802589,Petamburan,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1092713,Kaki Lima Liar,-6.162587,106.880661,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1092714,Kaki Lima Liar,-6.162523,106.880905,Sumur Batu,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
